AU01784 ,"03 M inspection of Refuge 3 air handling unit<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Notify the control room prior to commencing the job<br />2. (a) Refer to Maintenance Manual, """"Operating and Maintenance manual<br />for Mechanical<br />         Services - MCL Tunnels"""" M-STG-ME-27400.<br />   (b) Refer to AS 1668.1 - Appendix A for detail and methodology of<br />stair pressurisation<br />         commissioning tests.<br />3. Access Refuge 3 via substation 2, at ground level in Swan Street,<br />then down the stairwell to<br />    the tunnel level.<br />4. Ensure supply fan SF-SS2-1 situated on roof of Substation 2 is<br />operating and normal air<br />   supply to the ventilation shaft and refuge area is being maintained.<br />5. Check the grill, supplying air to the refuge area, in the<br />ventilationshaft is clear of debris that<br />   will restrict air flow.   [_ _]<br />6. Ensure the door between the Burnley Tunnel and the Refuge area is<br />closed.<br />7. Prior to entering the refuge, have the traffic control room operator<br />check the CO and NO levels<br />   and the temperature of the refuge.  Record in the """"Work Done"""" area<br />of the jobsheet if the<br />   ambient conditions are within required safety standards. If the air<br />quality is below standards, arrange for the control<br />   room to refresh the air in the refuge by operating the fan until<br />suitable air quality is<br />   achieved.  [_ _]<br />8. Inspection and checks of the Refuge and shaft area.<br />    WARNING:<br />    HEARING AND EYE PROTECTION MUST BE WORN WHEN WORKING IN THE<br />VICINITYOF<br />    THE OPERATING FAN.<br />   (a) Check the<br />         (i) exhaust vent on the duct   [_ _]<br />         (ii) the return air grill on the fan unit    [_ _]<br />         (iii) The fire damper and motorised damper exhaust grills in<br />the access shaft to<br />                tunnel to ensure they are free of debris that would<br />restrict the free flow of<br />                air.   [___]<br />          Note: The air damper on the fan return air grill is<br />non-functional.<br />   (b) Check the fire damper for damage, loose linkages and premature<br />operation.    [_ _]<br />   (c) Arrange the traffic control room operator to operate the fan.<br /> Check the operation of the fan<br />         ensuring the air flow is from the duct outlet into the refuge.<br /> [_ _]<br />   (d) Note: The alarm to be raised will not call the fire brigade. It<br />will register on the local FIP<br />                    and CCCS as a local alarm.<br />         Remove the smoke detector access cover and spray """"test<br />smoke"""", from a smoke<br />         generator, as specified on the container, onto the smoke<br />detector (on the inlet duct).<br />         Check that an alarm actuates on the local  fire indicator<br />panel.  [_ _]<br />  (e ) With the supply air fan SA-SD3-01 operating record the<br />differential pressure, if less than<br />        50Pa in the """"Work Done area of the job sheet.  Advise the<br />superintendent for further<br />        investigation.   [_ _]<br />  (f) Arrange the refuge door catch to be non-functioning, then using a<br />spring balance,<br />       measure the force required to open the door. Record the results<br />in the """"Work Done""""<br />       area of the job sheet if a force greater than 11kg is required,<br />advise the superintendent<br />       for further investigation.   [_ _]<br />  (g) Chock the door open, then using an anemometer, measure the<br />velocity of air out of the<br />        open door.  The reading should be with the door fully open and<br />no obstructions.<br />        Record the results in the """"Work Done"""" area of the job sheet<br />ifa velocity is less than<br />       1 metre per  sec.  Raise a new job sheet for any outstanding<br />corrective actions<br />       required.   [_ _]<br />  (h ) After closing the door, measure the time taken for the air<br />pressure to return to the static<br />        reading.  Record the results in the """"Work Done"""" area of the<br />job sheet if the time taken is<br />        greater than two minutes.  Raise a new job sheet for any<br />outstanding corrective action<br />        required.   [_ _]<br />  ( i ) Check the fan and motor for undue noise and vibrations.   [_ _]<br />  ( j ) Check the fan and motor bearings for noise.   [_ _]<br />   (k) Check the fan plenum for damage, corrosion, missing panel<br />fixings, as well as<br />         checking unit fixings for security.  [_ _]<br />   ( l ) Measure the motor current and compare with the rated current.<br />  [_ _]<br />   (m ) Check the filter elements for cleanliness and replace if<br />required.  ( 4 off 600x600x100mm)<br />             and ( 4 off 600x300x100mm)    [_ _]<br />9. Ensure the action of opening the Refuge door;<br />   (a) Generates an alarm at the TCR workstation.<br />   (b) Causes the fan speed to vary to maintain a positive pressure in<br />the Refuge.<br />   (c) To replicate the action of the smoke detector, temporarily<br />removethe relay """"Refuge<br />         Supply Air Fan No 3"""" mounted in the rear compartment of the<br />fire indicator panel.  The<br />         fan should stop after about two and a half minutes.  Replace<br />the relay on<br />         confirmation.   [_ _] (A local alarm will register on the CCCS.<br /> The fire brigade will not<br />         be called)<br />10. Run the fan for a further 5 minutes, with the door in both the open<br />and the closed<br />      position.<br />11. Clean the refuge:<br />     Sweep the floor and remove accumulated webs from the walls.   [___]<br />     Remove from site all accumulated debris and rubbish.   [_ _]<br />12. On completion of job record anything outside normal parameters<br />      e.g. Damaged equipment enclosures<br />             leaks<br />             lighting faults<br />             door damage<br />             evidence of structural damage to the refuge etc,  in the<br />Work Done""""<br />       section of the job sheet and report to the Team Leader or his<br />representative and<br />       raise a new job for any repairs.<br />13. Request the traffic control room to shut the fan down and to turn<br />off the lighting after<br />      leaving the Refuge, ensuring that the door to the tunnel is<br />14. Record anything outside normal parameters in the """"Work Done"""" area<br />of the Job Sheet.<br />15. Ensure the door between the Refuge and the Burnley Tunnel is closed.<br />16. Notify the Control Room on completion of the job.""<br />"
AU02227 ,"12 M Maint of Access. LUMS equipment<br /><br />** COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK **<br />1. Notify the control room prior to stopping in the emergency<br />   lane.<br />2. Set up short term emergency lane closure incorporating,<br />   symbolic worker. lateral shift, vehicle arrow board and cones<br />   as per Work Instruction, Traffic Control TMI-3012-OP 0002 and<br />   Translink Procedure, PR-RS-IR-059 Plan 2, 13, 144 or 145.<br />3. Reference: Advance Lane Use Sign (ALUS), Size B, Clip In/Clip<br />   Out Version, Operation and Maintenance Manual. Doc:<br />   CSP-304-220-300.<br />4. At the system control cabinet, check the following:<br />   (a) Internal and external condition of the cabinet for<br />       vandalism, damage, corrosion, ingress of moisture and any<br />       insect infestation, clean if necessary. [_ _]<br />   (b) Inspect the cabinet and check that the equipment mounted<br />       in the cabinet is secure. [_ _]<br />   (c) Check wiring for tightness and for any evidence of<br />       overheating. [_ _]<br />   (d) Using a vacuum cleaner, clean the cabinet interior. [_ _]<br />5. On completion of job record anything outside normal<br />   parameters in the Work Done area of the job sheet.<br />6. Notify the control room prior to departure.<br />****Complete the following CityLink Asset Condition Rating****<br />ASSET CONDITION RATING<br />Rate the Condition of the Asset.<br />Note:<br />[ 1 ] - Excellent.<br />        Asset is new or in as new condition<br />[ 2 ] - Good.<br />        Asset is fully operational, well presented, performing<br />        it's intended function.<br />[ 3 ] - Fair.<br />        Asset is functional and operational but showing signs of<br />        deterioration that will result is some intervention<br />        works possibly within the next 12 months. May not be<br />        performing it's intended function to the full degree.<br />[ 4 ] - Poor.<br />        Asset is functional and operational but showing major<br />        signs of deterioration that will require intervention<br />        works within the next 3 months. Not performing it's<br />        intended function.<br />CONDITION RATING SCORE [_ _]<br />If the condition of asset is 3 or 4, record your observations<br />in the Work Done area of the job sheet(photograph if possible).<br />"
AU01972 ,"12 M Inspect, change batteries PLC in Technical Shelters""<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Notify the Traffic Control Room prior to commencing this work<br />2. Notify the control room prior to entering technical shelter.<br />3. At the PLC installed<br />  (a) Remove the old Memory backup battery and install a fresh<br />      memory backup battery.  [_ _]<br />  (b) Check the PLC status and error indicators.  Indicators<br />      found to indicate abnormal conditions are to be logged in<br />      the work done area of the job sheet and a new job sheet<br />      raised to investigate and correct the error.  [_ _]<br />  (c) Inspect connections to the PLC including power e.g. plug<br />      connections, screw connections, for security.  [_ _]<br />  (d) Ensure all modules are secure in their mounting and module<br />      security screws are not loose.  [_ _]<br />  (e) Using a vacuum cleaner and a small brush ensure the<br />      enclosure and PLC modules are cleaned of accumulated dust<br />      and debris.  [_ _]<br />4  Record in the Work Done area of the Job Sheet any abnormal<br />   parameters relating to the PLCs or components and require<br />   further investigation.  Raise a new job sheet for any<br />   corrective actions required.   Priority High P1.<br />5. Notify the Traffic Control Room on completion of the job.<br />"
AU02237 ,24 M ESEP Road Skid Resistance Testing<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Notify the Traffic Control room prior to commencing this<br />   work.<br />2  This work is to be carried by a sub-contractor under TS<br />   supervision<br />3. Traffic management as per Work Instruction Traffic Control<br />   TMI-3012-OP-0002 and Translink Procedure PR-RS-IR-059 Plan 11<br />   to be provided by Transfield Services.<br />   In the work done area record:<br />   a. Any deviations from the plan.<br />   b. Lane closure start time.<br />   c. Lane closure finish time.<br />   d. Weather conditions.<br />4. Carry out a skid resistance survey of the Exhibition Street.<br />5. Provide a detailed report on the complete ESEP detailing the<br />   current conditions of the ESEP road pavement.<br />6. Manage automated pavement management database to provide an<br />   on-going and updated data related to the ESEP pavement and<br />   its on-going operational condition.<br />7. Record in the Work done area of the Job Sheet the job Report<br />   No. and the date.<br />8. Notify the Traffic Control Room on completion of the job.<br />
AU01968 ,"12 M Inspection of SL fire hydrants<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Access keys for the fire hydrant enclosures are required.<br />2. Notify the control room prior to accessing the fire<br />   hydrants.<br />3. Set up the lane closure as per Work Instruction Traffic<br />   Control TMI-3012-OP-0002 and<br />   Translink Procedure PR-RS-IR-059 Plans 1, 2, 3, 12, 13, 17<br />   & 18.<br />   In the work done area record:<br />   a. Any deviations from the plan.<br />   b. Lane closure start time.<br />   c. Lane closure finish time.<br />   d. Weather conditions.<br />4. Inspect the fire hydrants in the following sectors:<br />   W1/E5 - Mac Robertson Bridge to Glenferrie Road<br />   W2A/E7/4 - Mac Robertson Bridge / Church Street to Burnley<br />   Tunnel Portal<br />   W2B/E6B - Church Street to Domain Tunnel Portal<br />   W4/E2 - Southbank Interchange<br />12 M Inspection of ESEP fire hydrants<br />4. Inspect the fire hydrants in the following sector:<br />   W6/E6A - Exhibition Street Extension<br />"
AU02065 ,"12 M Test of Stick TMD function<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Notify the Traffic Control Room prior to commencing this job<br />2. Reference Vipac Report ""Tuned Mass Damper Maintenance -<br />   Western link Stick Wall""<br />   Report Nos. 303562-1 (May 02) & 303699-1(August 02)<br />3. This Tuned Mass Damper testing is to be carried out by the<br />   sub-contractor in the presence of the Civil Worker.<br />4. Where the job is scheduled at the following times, use the<br />   following list to determine the choice of sticks to perform<br />   the tests on.<br />Feb-2004 (1) Jan-2005 (2) Jan-2006 (3)<br />Jan-2007 (1) Jan-2008 (2) Jan-2009(3)<br />Jan-2010 (1) Jan-2011 (2) etc<br />    Where the (n) is 1; then<br />    N1, N2, N6, N11, N16, N17, N21, S12, S13, S14, S15, S16, S17<br />    & S18<br />    Where the (n) is 2 ; then<br />    N3, N4, N5, N13, N14, N19,N20, S6, S7, S8, S9, S10 & S11<br />    Where the (n) is 3; then<br />    N7, N8, N9, N10, N12, N15, N18, S1, S2, S3, S4, S5 & S6,<br />    On the occasion of February 2004 (only), perform tests on<br />    Stick N13, N15, N16, N20 & N21 to confirm the on-going<br />    integrity of previous repairs (N16 & N20 are included the<br />    selected population).<br />4. Use an Elevated Work Platform to access the top of the stick<br />5. Attach an accelerometer (set up so that it outputs<br />   displacement) near the middle of the top edge of the stick<br />6. Excite the stick by hand to get it swaying at its natural<br />   frequency in a North South direction.<br />7. Keep exciting the stick until a higher displacement cannot be<br />   achieved.<br />8. Let go of the stick and allow the movement to decay<br />9. Capture the initial part of the decay curve on an FFT<br />   analyser<br />10. Download the data, use successive peaks and troughs to<br />    calculate the natural frequency and the displacement at<br />    which tuned damping ceases and natural damping takes over.<br />11. Repeat steps 6 to 10, exciting the stick in an East West<br />    direction.<br />12. The sub-contractor is to supply a report setting out the<br />    result of the tests as well as a detailed listing of minor<br />    repairs carried out along with any works still outstanding.<br />13. Notify the Traffic Control room on completion of the job.<br />"
AU01645 ,"02 M Inspection of general Landscape on Western Link 1<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Inspect Landscape areas in the following WL 1 sectors:<br />   S1/N7 Tollway Bulla Road to Bell St<br />   S2/N6 Tollway Bell Street to Moreland Road<br />   S3/N5 Tollway Moreland Road to Brunswick St<br />   S4/N4 Tollway Brunswick St to Flemington Road<br />   Gateway Reserve<br />   as per Work Instruction TMI-3012-OP-0006 and Streetscape -<br />   Landscape Maintenance Manual.<br />2. Notify control room when starting inspection<br />3. Vehicle to have flashing amber light operating and personal<br />   to wear fluorescent vest if on foot.<br />4. Check:<br />   Lawns & Garden Beds for:<br />      General mix weeds<br />      Broad leaf weeds<br />      Paspalum weeds<br />      Adequate grass cover<br />      Mulching cover<br />      Water logged areas<br />      Excessive grass wear<br />   Lawn & Trees health check:<br />      Pests<br />      Disease<br />   Trees / Shrubs for:<br />      Pruning<br />      Damaged branches<br />      Encroaching on/over pathways, roads or lights<br />      Stakes and tying<br />5. Report all maintenance requirements (Herbicide, Fertilizing,<br />   Re-seeding, Pruning) on inspection sheet TMF-3012-OP-0012.<br />02 M Inspection of general Landscape on Western Link 2<br />1. Inspect Landscape areas in the following WL 2 sectors:<br />   S5/N3 Tollway Flemington Road to Dynon Road<br />   S6/N2 Tollway Dynon Road to Footscray Road and<br />   S7/N1 Tollway Footscray Road to West Gate Freeway<br />   According to Estimate No.1227 (landscape maintenance of WGFU<br />    areas) being included;<br /> ,,- Landscape Area between Ramp N and Ramp A<br /> ,,- Landscape Area under Ramp Z including landscaping around ,,ponds ,,<br /> ,,- Maintain granitic sand area under ramp Z (630m2)  ,,<br /> ,,- Area between RAMP P and RAMP A (1664m2)  ,,<br /> ,,- Grass at bottom of mount from RAMP A to RAMP N  ,,<br /> ,,- Area (7,512 m2)  both sides of Ramp N and opposite side of ,,main<br />carrage way<br />"
AU02079 ,"01 M Inspection of under structure architectural lighting<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Inspect  the Architectural lighting installations, as listed<br />   below for malfunctioning and or damaged lights.  Gateway<br />   lighting, Bolte bridge roadway lighting and sound tube<br />   (Internal & overhead) are carried out by others.<br />   The forms setting out the lighting for inspection are:<br />      Bolte Bridge Tower Feature Lighting - East Tower<br />      TMF-3012-OP-0216<br />      Bolte Bridge Tower Feature Lighting - West Tower<br />      TMF-3012-OP-0217<br />      Architectural Feature Lighting - Bolte Bridge Road (South<br />      Aerofoil)  TMF-3012-OP-0363<br />      Architectural Feature Lighting - Bolte Bridge Road (North<br />      Aerofoil)  TMF-3012-OP-0364<br />      Architectural Feature Lighting - Acoustic Tube (Underside)<br />      TMF-3012-OP-0226.<br />2. As a minimum, personnel to wear a safety vest and use a<br />   vehicle with a rotating hazard light.  Vehicle hazard light<br />   must be operating when travelling in the emergency lane.<br />3. Notify the control room if you are required to stop in the<br />   emergency lane to carry out further inspections.<br />4. At each location, visually inspect the lighting and record<br />   any malfunctioning and or damaged light fittings and record<br />   on the appriate form marking with an """"X"""".<br />      Bolte Bridge Roadway Lighting<br />      Aerofoil lights<br />      Bolte Bridge Tower Lighting<br />      Tower lights - Water Level Inspection only<br />      Aircraft warning lights -Distance inspection only<br />      Acoustic Tube Lighting<br />      Under shell<br />5. Ensure the Job sheet and the completed forms<br />   TMF-3012-OP-0216, TMF-3012-OP-0217, TMF-3012-OP-0363,<br />   TMF-3012-OP-0364 & TMF-3012-OP-0226 are returned to the<br />   Electrical / Electronics Team leader or his representative.<br />6. The Electrical / Electronics Team Leader or his<br />   representative shall raise jobsheets for any lamp<br />   replacements and any outstanding corrective actions that such<br />   as vandalism etc that maybe required.<br />"
AU02250 ,"12 M Calibrate & Certify Lutron Pressure Calibrater<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Organise and order and delivery of  Lutron Pressure Calibrator to<br />Corke Instruments for<br />   calibration.<br />2. Arrange pickup of Lutron Calibrator when calibration is complete.<br />3. Record in the Work Done area of the Jobsheet the Testing Authority's<br />name and the<br />  Testing Athority's Reference Number<br />4. Return  the completed jobsheet to the Electrical Supervisor or his<br />representative to<br />   File Calibration report in File 27.1 - """"Lutron TS153159""""<br />Enter recording below<br />Testing Authority's Name:<br />Testing Athority's Reference Number:""<br />NOTE: Where equipment requiring testing or calibration is sent<br />      off site for calibration, please record the in the Work<br />      Order the date equipment was sent out.<br />"
AU01629 ,"12 M Inspection of the WL 1 shared pathways<br /><br />**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**<br />1. Carry out inspection of the Shared Pathways of sector S4 as<br />   per Work Instruction TMI-3012-OP-0018.<br />2. Inspectors to carry safety vest, maintenance standards and<br />   rotating vehicle hazard light as a minimum requirement.<br />   Vehicle hazard light must be operating during inspection<br />   routine.<br />3. Notify control room when starting inspection.<br />4. Check:<br />   Pathways and paved areas are clean/clear<br />   Paths for Potholes and erosion<br />   Paths for Depressions and subsidence<br />   Broken paving or pavers<br />   Lifted paving or pavers<br />   Loose paving or pavers<br />   Sump pumps for debris<br />   Area for flooding<br />   Drainage (pits, pipes, grates, underpasses)<br />   Erosion damage<br />   Weeds<br />   Structural damage<br />5. Record defects or maintenance requirements in area below<br />6. Make temporary repair to any unsafe situation and raise a new<br />   job sheet for any works that require further repairs.<br />12 M Inspection of the WL 2 shared pathways<br />1. Carry out inspection of the Shared Pathways of sector S5 & S6<br />   as per Work Instruction TMI-3012-OP-0018.<br />"
