AU01677 	12 M Routine Maint. of Grant St Vent Station Fan
AU01677 	
AU01677 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01677 	WARNINGS:
AU01677 	1. DO NOT CARRY OUT THESE CHECKS  WHENEVER MORE THAN 2 FANS ARE
AU01677 	   OPERATIONAL
AU01677 	2. DO NOT ENTER THE AIRLOCK TO THE VENTILATION FAN ROOM ALONE.
AU01677 	   TWO OR MORE PEOPLE MUST BE PRESENT WHENEVER ANY  WORK  IS
AU01677 	   CARRIED OUT IN THIS AREA.
AU01677 	3. OBSERVE ALL NOTICES ON THE AIRLOCK DOORS
AU01677 	4. DO NOT ENTER A SMOKE DUCT UNLESS A PERMIT HAS BEEN OBTAINED
AU01677 	   FOR WORK IN THIS AREA.   TO CROSS THE DUCT A SERVICE LADDER
AU01677 	   MUST BE USED AT ALL TIMES
AU01677 	1. Obtain the Permit to Work for entry to the ventilation rooms
AU01677 	   and to interrupt operations.
AU01677 	2. Inform control room prior to commencing work. Maintain radio
AU01677 	   contact at all times.
AU01677 	"3. Reference manual:  ABB Installation, Operating & Maintenance"
AU01677 	   Instructions Manual(M-STG-VE-26059)
AU01677 	"4. Access to the Grant St ventilation station, on the mezzanine"
AU01677 	"   level, is via double locked doors on the stairway in Grant"
AU01677 	   St. adjacent to vent stack.  Access to substation 1 is
AU01677 	"   through the mezzanine level walkway north of the smoke duct,"
AU01677 	   then crossing over the smoke duct twice a using service
AU01677 	"   ladders to the roof of the substation, then down a service"
AU01677 	   ladder to the tunnel and then along the tunnel walkway to the
AU01677 	   substation.
AU01677 	"5. (a) On MCC in Substation No 1, switch one axial fan into"
AU01677 	"       operation, while maintenance is being carried out  on the"
AU01677 	",,   other fans.  Switch the AUTO/OFF/MAN selector switch to"
AU01677 	",,   the MANUAL position the REMOTE/OFF/LOCAL selector switch"
AU01677 	",,   to the REMOTE position then start the fan by pressing the"
AU01677 	",,   START pushbutton.   [_ _]"
AU01677 	   (b) Isolate ALL non-operational axial fans by switching the
AU01677 	",,   AUTO/OFF/MAN selector switches to the OFF position and"
AU01677 	",,   then carrying out electrical isolation procedures as set"
AU01677 	",,   out in Work Instruction TMI -3012 OP - 0103,  Low Voltage"
AU01677 	",,   Isolation Procedures."
AU01677 	6. Electrical checks in Substation No 1
AU01677 	   (a) Measure and record the insulation resistance on stator
AU01677 	",,   windings in """"Work Done"""" area of the Job Sheet.  [_ _]"
AU01677 	   (b) Check ammeter and record the reading for each phase in
AU01677 	",,   the work done area of the Job Sheet."
AU01677 	   (b) Inspect the control panel both internally and externally
AU01677 	",,   for damage, corrosion, evidence of moisture ingress,"
AU01677 	",,   accumulated dust and grime (clean as required).   [_ _]"
AU01677 	7. Fan Room Access
AU01677 	   (a) Enter the airlock first from the mezzanine level.   The
AU01677 	",,   airlock doors require considerable force to open due to"
AU01677 	",,   pressure differentials.  Equalize the corridor and fan"
AU01677 	",,   room pressures using the hatches in the wall before"
AU01677 	",,   entering the fan room."
AU01677 	",,   NOTE: HEARING AND EYE PROTECTION MUST BE WORN IN THE"
AU01677 	",,   VENTILATION FAN ROOM"
AU01677 	   (b) Check the CO levels in the fan room through the doorway
AU01677 	",,   before entering and at regular intervals while performing"
AU01677 	",,   the fan checks."
AU01677 	   (c) WARNING:  DO NOT PLACE ANY PART OF THE BODY OR MATERIALS
AU01677 	",,   WITHIN 1 METRE OF AN OPERATING FAN INLET GUARD."
AU01677 	",,   Airflow velocity is near 35 km/h."
AU01677 	8. Static Fan Checks for each fan.
AU01677 	   (a) Confirm that the fan on which maintenance is to be
AU01677 	",,   carried out on, is electrically isolated using the local"
AU01677 	",,   push button station, by depressing the emergency STOP"
AU01677 	",,   pushbutton."
AU01677 	   (b) Remove the entry cowl safety grill hatch and enter the
AU01677 	",,   fan inlet cowl."
AU01677 	"   (c) Check the impeller for dirt, wear on blade tips or blade"
AU01677 	",,   leading edges, as well as for any mechanical damage. [_ _]"
